carrier_id,carrier_column,split,formula_family,n_galaxies,matched_beats_wrong_fraction,matched_rank1_fraction,mean_matched_minus_wrong,median_matched_minus_wrong,matched_beats_carrier_fraction,matched_beats_tpg_v6_fraction,matched_beats_newtonian_baryonic_fraction,matched_beats_mond_fraction
newtonian_baryonic,vn,holdout,K_compact_finite,7,0.714285714286,0.142857142857,11.86428708,-1.7628520339,0.857142857143,0,0.857142857143,0
newtonian_baryonic,vn,holdout,K_exponential_disk,7,1,0.285714285714,-57.7841686019,-57.9692577937,1,0.428571428571,1,0.428571428571
newtonian_baryonic,vn,holdout,K_scale_tail_spiral,20,1,0.4,-79.870380457,-70.9901323156,0.7,0.25,0.7,0.25
newtonian_baryonic,vn,holdout,K_thick_flared,10,1,0.4,-33.0920411596,-29.9297767488,0.8,0.4,0.8,0.5
newtonian_baryonic,vn,train,K_compact_finite,22,0.590909090909,0.454545454545,5.12580151147,-2.82535132635,0.909090909091,0.227272727273,0.909090909091,0.227272727273
newtonian_baryonic,vn,train,K_exponential_disk,25,1,0.36,-41.9499159625,-41.7342369063,0.96,0.28,0.96,0.28
newtonian_baryonic,vn,train,K_scale_tail_spiral,60,0.983333333333,0.466666666667,-76.5787426204,-72.5645680494,0.683333333333,0.333333333333,0.683333333333,0.333333333333
newtonian_baryonic,vn,train,K_thick_flared,24,0.916666666667,0.666666666667,-26.7578923562,-19.5441465598,1,0.375,1,0.333333333333
tpg_v6,v_v6,holdout,K_compact_finite,7,0.571428571429,0.571428571429,3.71474706759,-0.427522403255,0.571428571429,0.571428571429,0.857142857143,0.571428571429
tpg_v6,v_v6,holdout,K_exponential_disk,7,0.857142857143,0.142857142857,-15.1924786584,-10.2509821993,0.285714285714,0.285714285714,1,0.285714285714
tpg_v6,v_v6,holdout,K_scale_tail_spiral,20,1,0.35,-30.7479141478,-22.4516463697,0.4,0.4,0.75,0.4
tpg_v6,v_v6,holdout,K_thick_flared,10,0.9,0.1,-8.27840375259,-4.54120834138,0.7,0.7,0.8,0.7
tpg_v6,v_v6,train,K_compact_finite,22,0.454545454545,0.454545454545,0.758847402364,1.13439262649,0.454545454545,0.454545454545,0.863636363636,0.363636363636
tpg_v6,v_v6,train,K_exponential_disk,25,0.88,0.36,-12.5418948127,-9.88399744081,0.4,0.4,0.96,0.44
tpg_v6,v_v6,train,K_scale_tail_spiral,60,1,0.45,-28.9216893988,-23.9199069943,0.433333333333,0.433333333333,0.8,0.45
tpg_v6,v_v6,train,K_thick_flared,24,0.916666666667,0.125,-7.23219608673,-3.5959628381,0.541666666667,0.541666666667,1,0.583333333333
