galaxy,split,n_active_components,n_promoted_active_components,n_blocked_active_components,orientation_gate_status,endpoint_freeze_allowed,endpoint_scores_computed,uses_vobs_or_residual,claim_boundary
CamB,holdout,2,1,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
ESO116-G012,holdout,2,1,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
F561-1,holdout,1,1,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
F563-1,holdout,2,1,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
F568-1,holdout,1,1,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
IC2574,holdout,4,3,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
IC4202,holdout,2,1,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC0024,holdout,2,2,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC2683,holdout,4,3,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC3726,holdout,3,3,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC3949,holdout,3,3,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC3972,holdout,4,3,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC4013,holdout,4,3,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC4088,holdout,3,3,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC4183,holdout,4,3,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC4214,holdout,3,3,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC4389,holdout,2,2,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC5907,holdout,4,3,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC5985,holdout,3,3,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC6789,holdout,2,1,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC6946,holdout,2,2,0,ORIENTATION_PROMOTION_READY_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
NGC7331,holdout,3,2,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
UGC00731,holdout,2,1,1,ORIENTATION_PROMOTION_BLOCKED_FOR_ACTIVE_COMPONENTS,False,False,False,source_native_orientation_promotion_gate_not_endpoint
