galaxy,split,source_disturbance_class,source_disturbance_basis,theta1,main_disturber,asymmetry_3p6,path_disturbance_class,path_disturbance_basis,observation_disturbance_class,observation_disturbance_basis,inclination_deg,missing_source_fields,combined_class,endpoint_blind,dark_discrepancy_used
IC2574,train,S1,0<Theta1<=1,1.0,,0.4900000095367431,PX,foreground lightcone catalogue not yet acquired,O0,inclination=75;missing_fields=1,75.0,1,S1-PX-O0,True,False
NGC0024,train,S0,Theta1<=0,-1.0,,0.2199999988079071,PX,foreground lightcone catalogue not yet acquired,O0,inclination=64;missing_fields=0,64.0,0,S0-PX-O0,True,False
NGC0055,train,S1,0<Theta1<=1,0.1000000014901161,,0.9700000286102296,PX,foreground lightcone catalogue not yet acquired,O1,inclination=77;missing_fields=1,77.0,1,S1-PX-O1,True,False
NGC0100,train,S1,0.2<=A3.6<0.4 proxy,,,0.3000000119209289,PX,foreground lightcone catalogue not yet acquired,O3,inclination=89;missing_fields=1,89.0,1,S1-PX-O3,True,False
NGC0247,train,S2,1<Theta1<=2,1.2000000476837158,,0.4900000095367431,PX,foreground lightcone catalogue not yet acquired,O0,inclination=74;missing_fields=0,74.0,0,S2-PX-O0,True,False
NGC0289,train,S1,0.2<=A3.6<0.4 proxy,,,0.2399999946355819,PX,foreground lightcone catalogue not yet acquired,O0,inclination=46;missing_fields=0,46.0,0,S1-PX-O0,True,False
NGC0300,holdout,S1,0<Theta1<=1,0.1000000014901161,,0.6100000143051147,PX,foreground lightcone catalogue not yet acquired,O0,inclination=42;missing_fields=1,42.0,1,S1-PX-O0,True,False
NGC1090,train,S2,0.4<=A3.6<0.6 proxy,,,0.5400000214576721,PX,foreground lightcone catalogue not yet acquired,O0,inclination=64;missing_fields=1,64.0,1,S2-PX-O0,True,False
NGC1705,train,S0,Theta1<=0,-1.7999999523162842,,0.449999988079071,PX,foreground lightcone catalogue not yet acquired,O3,inclination=80;missing_fields=5,80.0,5,S0-PX-O3,True,False
NGC2683,holdout,S0,Theta1<=0,0.0,,0.4600000083446502,PX,foreground lightcone catalogue not yet acquired,O1,inclination=80;missing_fields=0,80.0,0,S0-PX-O1,True,False
NGC2841,train,S3,A3.6>=0.6 proxy,,,0.9200000166893004,PX,foreground lightcone catalogue not yet acquired,O1,inclination=76;missing_fields=1,76.0,1,S3-PX-O1,True,False
NGC2903,train,S2,1<Theta1<=2,1.7000000476837158,,0.5600000023841858,PX,foreground lightcone catalogue not yet acquired,O0,inclination=66;missing_fields=0,66.0,0,S2-PX-O0,True,False
NGC2976,holdout,S3,Theta1>2,2.9000000953674316,,0.8500000238418579,PX,foreground lightcone catalogue not yet acquired,O0,inclination=61;missing_fields=1,61.0,1,S3-PX-O0,True,False
NGC3198,train,S3,A3.6>=0.6 proxy,,,0.8399999737739563,PX,foreground lightcone catalogue not yet acquired,O0,inclination=73;missing_fields=1,73.0,1,S3-PX-O0,True,False
NGC3521,train,S3,Theta1>2,2.200000047683716,,0.9300000071525574,PX,foreground lightcone catalogue not yet acquired,O0,inclination=75;missing_fields=1,75.0,1,S3-PX-O0,True,False
NGC3726,holdout,S3,A3.6>=0.6 proxy,,,0.9900000095367432,PX,foreground lightcone catalogue not yet acquired,O0,inclination=53;missing_fields=1,53.0,1,S3-PX-O0,True,False
NGC3769,train,S3,A3.6>=0.6 proxy,,,0.800000011920929,PX,foreground lightcone catalogue not yet acquired,O0,inclination=70;missing_fields=0,70.0,0,S3-PX-O0,True,False
NGC3877,train,S3,A3.6>=0.6 proxy,,,0.8399999737739563,PX,foreground lightcone catalogue not yet acquired,O1,inclination=76;missing_fields=1,76.0,1,S3-PX-O1,True,False
NGC3893,train,S3,A3.6>=0.6 proxy,,,0.7099999785423279,PX,foreground lightcone catalogue not yet acquired,O0,inclination=49;missing_fields=1,49.0,1,S3-PX-O0,True,False
NGC3917,train,S1,0.2<=A3.6<0.4 proxy,,,0.2000000029802322,PX,foreground lightcone catalogue not yet acquired,O1,inclination=79;missing_fields=1,79.0,1,S1-PX-O1,True,False
NGC3949,train,S1,0.2<=A3.6<0.4 proxy,,,0.209999993443489,PX,foreground lightcone catalogue not yet acquired,O0,inclination=55;missing_fields=1,55.0,1,S1-PX-O0,True,False
NGC3953,train,S3,A3.6>=0.6 proxy,,,0.7799999713897705,PX,foreground lightcone catalogue not yet acquired,O0,inclination=62;missing_fields=0,62.0,0,S3-PX-O0,True,False
NGC3972,train,S2,0.4<=A3.6<0.6 proxy,,,0.4399999976158142,PX,foreground lightcone catalogue not yet acquired,O1,inclination=77;missing_fields=1,77.0,1,S2-PX-O1,True,False
NGC3992,train,S2,0.4<=A3.6<0.6 proxy,,,0.4300000071525574,PX,foreground lightcone catalogue not yet acquired,O0,inclination=56;missing_fields=0,56.0,0,S2-PX-O0,True,False
NGC4010,train,S3,A3.6>=0.6 proxy,,,0.7599999904632568,PX,foreground lightcone catalogue not yet acquired,O3,inclination=89;missing_fields=1,89.0,1,S3-PX-O3,True,False
NGC4013,train,S3,A3.6>=0.6 proxy,,,0.800000011920929,PX,foreground lightcone catalogue not yet acquired,O3,inclination=89;missing_fields=1,89.0,1,S3-PX-O3,True,False
NGC4051,holdout,S1,0.2<=A3.6<0.4 proxy,,,0.3199999928474426,PX,foreground lightcone catalogue not yet acquired,O2,inclination=49;missing_fields=4,49.0,4,S1-PX-O2,True,False
NGC4068,holdout,S0,Theta1<=0,-0.5,,0.3000000119209289,PX,foreground lightcone catalogue not yet acquired,O0,inclination=44;missing_fields=1,44.0,1,S0-PX-O0,True,False
NGC4085,holdout,S0,A3.6<0.2 proxy,,,0.1800000071525573,PX,foreground lightcone catalogue not yet acquired,O2,inclination=82;missing_fields=1,82.0,1,S0-PX-O2,True,False
NGC4088,train,S1,0.2<=A3.6<0.4 proxy,,,0.3000000119209289,PX,foreground lightcone catalogue not yet acquired,O0,inclination=69;missing_fields=1,69.0,1,S1-PX-O0,True,False
NGC4100,train,S3,A3.6>=0.6 proxy,,,0.6000000238418579,PX,foreground lightcone catalogue not yet acquired,O0,inclination=73;missing_fields=1,73.0,1,S3-PX-O0,True,False
NGC4138,train,S1,0.2<=A3.6<0.4 proxy,,,0.3300000131130218,PX,foreground lightcone catalogue not yet acquired,O0,inclination=53;missing_fields=1,53.0,1,S1-PX-O0,True,False
NGC4157,train,S3,A3.6>=0.6 proxy,,,1.0,PX,foreground lightcone catalogue not yet acquired,O2,inclination=82;missing_fields=1,82.0,1,S3-PX-O2,True,False
NGC4183,train,S3,A3.6>=0.6 proxy,,,0.8299999833106995,PX,foreground lightcone catalogue not yet acquired,O2,inclination=82;missing_fields=1,82.0,1,S3-PX-O2,True,False
NGC4214,train,S2,1<Theta1<=2,1.2000000476837158,,0.9900000095367432,PX,foreground lightcone catalogue not yet acquired,O3,inclination=15;missing_fields=0,15.0,0,S2-PX-O3,True,False
NGC4217,train,S1,0.2<=A3.6<0.4 proxy,,,0.3600000143051147,PX,foreground lightcone catalogue not yet acquired,O3,inclination=86;missing_fields=1,86.0,1,S1-PX-O3,True,False
NGC4389,train,S0,A3.6<0.2 proxy,,,0.1899999976158142,PX,foreground lightcone catalogue not yet acquired,O0,inclination=50;missing_fields=0,50.0,0,S0-PX-O0,True,False
NGC4559,train,S0,Theta1<=0,-0.4000000059604645,,0.9700000286102296,PX,foreground lightcone catalogue not yet acquired,O0,inclination=67;missing_fields=0,67.0,0,S0-PX-O0,True,False
