galaxy,split,n_points,rmse_tau_source_normalized_l2,rmse_tpg_v6,rmse_mond,claim_boundary,rmse_l2_weight_intake,source_norm_minus_old_l2_intake,source_norm_minus_tpg_v6,source_norm_minus_mond,source_norm_beats_old_l2_intake,source_norm_beats_tpg_v6,source_norm_beats_mond
CamB,holdout,9,14.023449900415848,13.63779853730796,15.623524086441458,tau_side_source_normalization_formula_conditional_not_validation,15.773375142407724,-1.7499252419918765,0.38565136310788795,-1.6000741860256102,True,False,True
ESO116-G012,holdout,15,8.456357892976945,11.508201668011028,9.108666488881621,tau_side_source_normalization_formula_conditional_not_validation,10.754558922826297,-2.298201029849352,-3.051843775034083,-0.6523085959046764,True,True,True
F561-1,holdout,6,33.73196559002089,28.55685188052471,32.526019723976546,tau_side_source_normalization_formula_conditional_not_validation,30.72961132456212,3.00235426545877,5.1751137094961805,1.2059458660443454,False,False,False
F563-1,holdout,17,22.813337759150635,24.695833689633552,18.44568739642176,tau_side_source_normalization_formula_conditional_not_validation,24.353860854926513,-1.5405230957758782,-1.8824959304829179,4.367650362728874,True,True,False
F568-1,holdout,12,29.009150317158717,33.500610533676024,29.974188853658532,tau_side_source_normalization_formula_conditional_not_validation,31.176877091120875,-2.1677267739621584,-4.491460216517307,-0.9650385364998151,True,True,True
IC2574,holdout,34,7.617807621326818,7.5138151552258,13.51316984455882,tau_side_source_normalization_formula_conditional_not_validation,25.05305541471972,-17.4352477933929,0.10399246610101809,-5.895362223232002,True,False,True
IC4202,holdout,32,26.821218390020867,26.101514959176914,26.12803028857914,tau_side_source_normalization_formula_conditional_not_validation,26.05888267438966,0.7623357156312061,0.7197034308439534,0.6931881014417272,False,False,False
NGC0024,holdout,29,23.451231947000664,22.157814084096987,20.65262257294937,tau_side_source_normalization_formula_conditional_not_validation,21.692224929876502,1.759007017124162,1.2934178629036772,2.7986093740512956,False,False,False
NGC2683,holdout,11,13.776757043754774,10.314830339812675,14.151015414510422,tau_side_source_normalization_formula_conditional_not_validation,11.450848580050405,2.325908463704369,3.4619267039420993,-0.3742583707556477,False,False,True
NGC3726,holdout,12,30.763713247983883,23.631876746434497,26.325344741169783,tau_side_source_normalization_formula_conditional_not_validation,26.51090685077883,4.2528063972050525,7.131836501549387,4.4383685068141006,False,False,False
NGC3949,holdout,7,14.278198381956717,8.950158230683527,11.297904622428334,tau_side_source_normalization_formula_conditional_not_validation,24.44325259103885,-10.165054209082133,5.328040151273189,2.980293759528383,True,False,False
NGC3972,holdout,10,6.2340971172068835,7.806428086864266,6.774747860896815,tau_side_source_normalization_formula_conditional_not_validation,13.92630563477123,-7.692208517564347,-1.5723309696573828,-0.5406507436899313,True,True,True
