gamma,beta,alpha,train_mean_galaxy_rmse_km_s
0.75,0.75,0.37504320699441385,16.735492521285455
0.75,1.0,0.28500358573151763,17.17131273165741
0.75,1.25,0.2152764144047301,18.17696526535505
1.0,0.75,0.4657989449215494,17.214023744765704
1.0,1.0,0.3908357054141126,16.564649881627208
1.0,1.25,0.32855429262376534,16.63696725308561
1.25,0.75,0.5565966145142285,18.350042757256766
1.25,1.0,0.4998387844014228,17.31301134205894
1.25,1.25,0.44953473972316027,17.04137207773212
1.5,0.75,0.6454298840508922,19.76164588232737
1.5,1.0,0.6073434219116851,18.686106750037915
1.5,1.25,0.5703422824729283,18.358897224451383
