model_id,role,valid_full_endpoint,n_points,rmse_km_s,mae_km_s,bias_km_s,chi2,chi2_per_point,aic_known_errors,bic_known_errors,endpoint_fit_parameters,imported_summary_scalars,claim_boundary
NFW_TWO_PARAMETER_ENDPOINT_FIT,fit_aided_standard_comparator,True,30,1.1953019908601819,0.9422647841743047,0.04348806724488886,3.1479208790056945,0.10493069596685649,7.147920879005694,9.950315642330006,2,0,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
PSEUDO_ISOTHERMAL_TWO_PARAMETER_ENDPOINT_FIT,fit_aided_standard_comparator,True,30,1.547969244791229,1.1742975430672058,-0.02534477686391033,5.279504666136839,0.17598348887122797,9.27950466613684,12.08189942946115,2,0,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
MOND_FIXED_A0,fixed_standard_comparator,True,30,8.782045083335015,8.189116638790184,-8.189116638790184,169.92600490389043,5.664200163463014,169.92600490389043,169.92600490389043,0,0,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
TPG_V6_FIXED,fixed_standard_comparator,True,30,12.750079284525583,12.608192056892621,-12.608192056892621,358.1741947290819,11.93913982430273,358.1741947290819,358.1741947290819,0,0,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
TAU_WARP_TRANSFER_SOURCE_SPEED_SENSITIVITY,predeclared_sensitivity,True,30,28.946119321884865,26.21088493359616,-26.21088493359616,1846.0744790287897,61.53581596762633,1846.0744790287897,1846.0744790287897,0,1,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
TAU_WARP_TRANSFER_PRIMARY,matched_frozen_transfer,True,30,29.703509883114187,27.449907021104597,-27.449907021104597,1943.9454014943979,64.79818004981327,1943.9454014943979,1943.9454014943979,0,2,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
CONTROL_WRONG_NGC4088_ONSET,morphology_control,True,30,31.64062539109528,30.896863765692192,-30.896863765692192,2205.761947561247,73.52539825204157,2205.761947561247,2205.761947561247,0,2,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
CONTROL_WRONG_P2,morphology_control,True,30,31.90425661739691,28.66202852576852,-27.725206700925597,2242.6721094337904,74.75573698112635,2242.6721094337904,2242.6721094337904,0,2,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
NEWTONIAN_BARYONIC,fixed_standard_comparator,True,30,44.87123580471808,44.05534964387753,-44.05534964387753,4436.133259837869,147.87110866126233,4436.133259837869,4436.133259837869,0,0,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
CONTROL_WRONG_SIGN,morphology_control,False,15,,,,,,,,0,2,retrospective_single_galaxy_class_transfer_negative_not_tau_falsification
