galaxy,fold,theta1,log_tpg_target,tpg_baseline_prediction,tpg_augmented_prediction,log_newtonian_target,newtonian_baseline_prediction,newtonian_augmented_prediction
CamB,4,0.8999999761581421,2.6128452418306773,1.5370530279950614,1.2930838296205285,1.2106326399584622,2.682670404128904,2.5254666568306816
DDO064,3,1.600000023841858,1.005506664895104,2.097101435488914,1.8805884761837506,2.8870485304933218,2.8443817729425174,2.411076424642381
DDO154,0,0.4000000059604645,1.2655335841315904,2.0515354543138926,1.9700986473774738,3.165988710577911,3.056574136201507,2.9959410770539354
DDO161,2,1.5,2.6085406612676296,1.974919330745434,1.4629041256672506,3.1494412462973225,3.6232551059409244,3.351477594066867
DDO168,3,0.3000000119209289,1.9062242163756358,2.084939410612869,2.024342109951006,3.0454208065597483,3.087250707136993,2.9659778994787285
IC2574,3,1.0,2.0167433467999496,2.236338661542883,2.107207010475673,3.1689940390672193,3.3135111159978914,3.0550811577089463
NGC0024,2,-1.0,3.0981902145993403,1.6665692825490857,1.943873765291288,3.853997468267295,3.17066282699766,3.3178559603337883
NGC0055,1,0.1000000014901161,2.6134474029684664,1.660321919892932,1.776948553803467,3.404685931161248,3.480125886878193,3.6642304690500533
NGC0247,3,1.2000000476837158,1.3523010821494585,2.423628038555359,2.313792187253719,3.7918588889880156,3.594009870200742,3.3741964144296244
NGC0300,1,0.1000000014901161,2.2856320015508858,2.2100599072609546,2.2801480351279655,3.838999730967889,3.403190009202573,3.513829792445073
NGC0891,2,-0.8999999761581421,3.389045040529876,2.171627254826436,2.280049164475697,3.7492389093509386,4.354560472680216,4.412110788656888
NGC1705,3,-1.7999999523162842,3.025225243924782,2.4421421006358517,2.5974049892379383,3.8037435346584414,2.961644491692725,3.2723706497929896
NGC2366,2,1.0,2.1011456555652686,2.14334177776402,1.9000286452916377,2.9400763818726574,3.585458838946764,3.4563083037794935
NGC2403,2,0.2000000029802322,2.28858717256824,2.436642588147992,2.4870911214300824,3.9259465812927674,4.198459097797717,4.22523716359951
NGC2683,1,0.0,2.3335826984771373,2.843227485397039,2.8189481015060562,4.158798687376556,3.666036167923454,3.627709195114923
NGC2903,2,1.7000000476837158,3.193030540857504,2.3192392324441964,2.0487019140568954,4.102975329573447,3.969254533843819,3.8256534092460575
NGC2915,4,-1.100000023841858,3.2583990179505844,2.555664978142855,2.7958862562595588,3.9770604621316648,3.3759434873757606,3.5307322285460327
NGC2976,1,2.9000000953674316,1.632554665850377,2.5910958519467724,2.2168418866679085,2.657461251489841,3.1330714139924076,2.542281235166853
NGC3109,2,0.2000000029802322,2.2325788571975913,1.7878656699546938,1.9672010177183872,3.468215615104687,3.201950123525531,3.2971412704346217
NGC3521,2,2.200000047683716,1.9616317135432872,2.2972381967508984,1.8529701073175227,3.561278759632084,4.230679031203445,3.994861667278076
NGC3741,4,-0.699999988079071,2.0568761459389915,1.864388257405071,2.1033157360299546,3.254377132844078,3.05643357068773,3.210388640518662
NGC4068,3,-0.5,2.2813164180522056,2.2395007946795205,2.2816117585660405,2.2437557693513837,2.9499019469054595,3.0341782227120495
NGC4214,1,1.2000000476837158,2.889874262126775,2.518632447418748,2.3847511855584784,3.775429484763874,3.297889854886388,3.0865474457902446
NGC4559,0,-0.4000000059604645,2.7334129086020016,2.561242095022721,2.7160124427146024,3.6884578564366235,3.882818105681747,3.9980510083324927
NGC5055,2,-0.1000000014901161,3.1486628673145716,2.3911812800088597,2.3666259702948524,3.979244924846905,4.356633318234862,4.343599367463125
NGC5585,0,-0.800000011920929,2.0681510469008364,2.248934484188977,2.519175051733562,3.4557153550473783,3.40461346942915,3.6058187098162984
NGC6503,0,-1.100000023841858,2.0198272979161835,2.4190919494375556,2.774591498559554,4.040135505007287,3.616204593863576,3.8808886599478205
NGC6789,2,-1.2999999523162842,2.7661777306289292,2.114722849218864,2.4714124864693536,3.277084451046955,2.039978466895552,2.2293092155954772
NGC6946,3,0.6000000238418579,2.7097452586933684,2.8921508839478434,2.862448186275273,3.741232224812574,4.124695099335518,4.065251369954281
NGC7793,4,0.2000000029802322,1.7443782127426593,2.629867169825668,2.700192741722782,3.2735789237725927,3.6298295741760738,3.675144488955376
UGC01281,0,-1.100000023841858,1.055584362309263,1.783016434221788,2.1198448683684594,3.138215798396284,2.880518078499232,3.1313007299622715
UGC04483,1,0.6000000238418579,1.3346604772383226,2.1351263082529375,1.9807174075597418,2.126164808542685,2.6775522971546755,2.4338053485156195
UGC07690,4,-0.5,1.5264386297816481,2.546139005510177,2.5892891659618655,3.1244356821466246,3.117634657013142,3.1454388510045135
UGC09992,1,-1.2000000476837158,2.5192356863973093,1.5790095441573717,1.7165458690483688,2.417010369904995,2.714532536946467,2.9316447589019967
UGCA281,3,-0.6000000238418579,0.6630575047590653,2.229762557470303,2.2167404712015735,2.341572704106157,2.4023425274052714,2.376281548679684
UGCA442,2,-0.1000000014901161,1.6500600407654795,1.4502436749650416,1.5196598434584085,3.3177677084086135,2.6977095222932217,2.734555602975683
