galaxy,fold,source_family,endpoint_blind,retrospective_lock,sparc_t_type,log_distance_mpc,inclination_deg,log_l36,log_rdisk_kpc,log_mhi,theta1,theta1_group_bound
CamB,4,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,10.0,1.2119409739751128,65.0,-2.5902671654458267,-0.7550225842780328,-4.422848629194137,0.8999999761581421,1
DDO064,3,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,10.0,1.916922612182061,60.0,-1.851509473633829,-0.37106368139083207,-1.5558971455060706,1.600000023841858,1
DDO154,0,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,10.0,1.3962446919730587,64.0,-2.9374633654300153,-0.9942522733438669,-1.2909841813155656,0.4000000059604645,1
DDO161,2,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,10.0,2.0149030205422647,70.0,-0.6014799920341214,0.19885085874516517,0.32063317259146673,1.5,1
DDO168,3,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,10.0,1.4469189829363254,63.0,-1.6554818509355071,0.01980262729617973,-0.8843076860211043,0.3000000119209289,1
IC2574,3,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,9.0,1.3635373739972745,75.0,0.015873349156290163,1.0224509277025455,0.035367143837291344,1.0,1
NGC0024,2,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,5.0,1.9878743481543455,64.0,1.3581520551736102,0.29266961396282004,-0.3915622029391729,-1.0,0
NGC0055,1,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,9.0,0.7466879474879751,77.0,1.5321248093314301,1.809926773183504,0.4478858239921165,0.1000000014901161,1
NGC0247,3,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,7.0,1.308332819650179,74.0,1.9922483299774585,1.3190856114264407,0.5573274574174104,1.2000000476837158,1
NGC0300,1,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,7.0,0.7323678937132266,42.0,1.0722683133285078,0.5596157879354227,-0.06613980250454495,0.1000000014901161,1
NGC0891,2,UNGC_2013_DOMINANT_NEIGHBOR_TIDAL_INDEX,True,True,3.0,2.2935443483418965,90.0,4.929714423172439,0.9360933591703348,1.4955970960103406,-0.8999999761581421,0
