channel,s4g_name,normalized_name,asymmetry,asymmetry_error
3.6um,ESO107-016,ESO10701G6,0.29,0.01
3.6um,ESO011-005,ESO1100G5,0.6,0.02
3.6um,ESO114-007,ESO11400G7,0.61,0.08
3.6um,ESO115-021,ESO11502G1,0.98,0.0
3.6um,ESO116-012,ESO11601G2,0.62,0.01
3.6um,ESO119-016,ESO11901G6,0.63,0.02
3.6um,ESO120-012,ESO12001G2,0.41,0.02
3.6um,ESO120-021,ESO12002G1,0.42,0.02
3.6um,ESO012-010,ESO1201G0,0.36,0.07
3.6um,ESO012-014,ESO1201G4,0.67,0.02
3.6um,ESO013-016,ESO1301G6,0.45,0.05
3.6um,ESO145-025,ESO14502G5,0.45,0.01
3.6um,ESO146-014,ESO14601G4,0.6,0.01
3.6um,ESO149-001,ESO14900G1,0.66,0.01
3.6um,ESO149-003,ESO14900G3,0.44,0.15
3.6um,ESO150-005,ESO15000G5,0.81,0.02
3.6um,ESO015-001,ESO1500G1,0.56,0.08
3.6um,ESO154-023,ESO15402G3,0.97,0.0
3.6um,ESO157-049,ESO15704G9,0.44,0.15
3.6um,ESO159-025,ESO15902G5,0.29,0.02
3.6um,ESO187-035,ESO18703G5,0.25,0.02
3.6um,ESO187-051,ESO18705G1,0.23,0.01
3.6um,ESO202-035,ESO20203G5,0.7,0.04
3.6um,ESO202-041,ESO20204G1,0.71,0.05
3.6um,ESO234-043,ESO23404G3,0.32,0.03
3.6um,ESO234-049,ESO23404G9,0.28,0.03
3.6um,ESO236-039,ESO23603G9,0.3,0.03
3.6um,ESO237-049,ESO23704G9,0.4,0.02
3.6um,ESO237-052,ESO23705G2,0.35,0.03
3.6um,ESO238-018,ESO23801G8,0.5,0.06
3.6um,ESO240-004,ESO24000G4,0.72,0.02
3.6um,ESO240-011,ESO24001G1,0.44,0.07
3.6um,ESO245-005,ESO24500G5,0.82,0.01
3.6um,ESO245-007,ESO24500G7,0.67,0.03
3.6um,ESO248-002,ESO24800G2,0.44,0.02
3.6um,ESO249-008,ESO24900G8,0.39,0.08
3.6um,ESO249-026,ESO24902G6,0.73,0.02
3.6um,ESO249-027,ESO24902G7,0.7,0.04
3.6um,ESO249-035,ESO24903G5,0.78,0.01
3.6um,ESO249-036,ESO24903G6,0.6,0.03
3.6um,ESO026-001,ESO2600G1,0.52,0.03
3.6um,ESO027-001,ESO2700G1,0.89,0.02
3.6um,ESO027-008,ESO2700G8,0.93,0.01
3.6um,ESO285-048,ESO28504G8,0.33,0.03
3.6um,ESO286-044,ESO28604G4,0.38,0.09
3.6um,ESO287-009,ESO28700G9,0.45,0.06
3.6um,ESO287-037,ESO28703G7,0.22,0.01
3.6um,ESO287-043,ESO28704G3,0.34,0.03
3.6um,ESO288-013,ESO28801G3,0.23,0.05
3.6um,ESO289-010,ESO28901G0,0.39,0.03
3.6um,ESO289-026,ESO28902G6,0.48,0.0
3.6um,ESO289-048,ESO28904G8,0.52,0.03
3.6um,ESO291-024,ESO29102G4,0.4,0.01
3.6um,ESO292-014,ESO29201G4,0.5,0.04
