Name,F100,re100,n100,q100,PA100,F160,re160,n160,q160,PA160,F250,re250,n250,q250,PA250,F350,re350,n350,q350,PA350,F500,re500,n500,q500,PA500,chi2nu
NGC0115,1.07944371,32.87,0.38,0.36,-64.6,1.78042026,32.24,0.28,0.36,-64.6,0.93484586,32.28,0.2,0.36,-64.6,0.53267527,33.71,0.1,0.36,-64.6,0.2838442,38.57,0.1,0.36,-64.6,0.775
NGC0131,1.86380297,19.88,0.7,0.41,64.5,2.76008544,21.36,0.58,0.41,64.5,1.58759605,23.5,0.57,0.41,64.5,0.78498713,25.79,0.46,0.41,64.5,0.34664107,29.01,0.66,0.41,64.5,0.815
NGC0150,14.66898282,31.02,0.2,0.65,-61.9,16.89361244,31.27,0.29,0.65,-61.9,8.20994048,32.3,0.33,0.65,-61.9,4.1158784,34.39,0.52,0.65,-61.9,1.64694849,39.36,0.66,0.65,-61.9,1.98
NGC0289,19.62456324,31.97,1.15,0.59,-29.4,23.4057481,31.96,1.36,0.59,-29.4,12.61072365,37.59,1.6,0.59,-29.4,6.40416533,51.79,2.07,0.59,-29.4,3.20243274,88.76,2.75,0.59,-29.4,1.043
NGC0337,18.48417195,33.63,1.14,0.58,-50.9,18.97241111,35.74,1.03,0.58,-50.9,8.51804654,38.53,1.16,0.58,-50.9,3.97431728,41.09,0.77,0.58,-50.9,1.56271585,43.84,0.63,0.58,-50.9,3.219
NGC0450,4.92946741,37.8,1.02,0.58,74.0,6.31716945,44.61,1.02,0.58,74.0,3.9841897,53.01,1.11,0.58,74.0,2.17802337,59.78,0.9,0.58,74.0,0.98328637,64.89,0.66,0.58,74.0,1.078
NGC0586,1.00092146,16.86,0.09,0.4,-4.5,1.53363682,17.57,0.07,0.4,-4.5,0.8789011,18.69,0.06,0.4,-4.5,0.39743173,19.98,0.08,0.4,-4.5,0.14490388,22.03,0.18,0.4,-4.5,1.284
NGC0613,45.08167045,71.55,0.38,0.45,-60.8,57.24301852,77.55,0.37,0.45,-60.8,29.75363347,84.47,0.28,0.45,-60.8,14.27126713,89.25,0.48,0.45,-60.8,5.89223443,90.64,0.75,0.45,-60.8,4.799
NGC0625,6.90557744,19.2,0.73,0.4,90.0,7.45628547,22.97,1.13,0.4,90.0,4.08075018,28.21,1.97,0.4,90.0,2.24937848,33.41,1.8,0.4,90.0,0.99055825,40.0,1.71,0.4,90.0,3.008
NGC0895,7.22437032,45.37,1.24,0.57,-56.3,10.63953204,50.51,1.12,0.57,-56.3,6.54545752,57.46,0.84,0.57,-56.3,3.46786782,64.11,0.84,0.57,-56.3,1.50757879,71.98,0.72,0.57,-56.3,4.31
NGC0891,211.05711629,109.57,0.47,0.08,23.1,291.4221291,117.43,0.44,0.08,23.1,139.42479309,127.58,0.49,0.08,23.1,58.73034276,136.56,0.5,0.08,23.1,20.15023045,145.48,0.75,0.08,23.1,54.211
NGC0925,29.0268561,171.43,2.26,0.37,-74.3,39.49321839,176.91,1.88,0.37,-74.3,25.55877346,183.34,1.51,0.37,-74.3,14.80684518,187.95,1.03,0.37,-74.3,6.3311123,189.85,0.76,0.37,-74.3,6.458
NGC1097,73.66819008,21.32,3.85,0.46,-38.0,209.45104273,364.62,18.02,0.46,-38.0,51.09518885,144.42,1.79,0.46,-38.0,77.31478196,1758.74,14.19,0.46,-38.0,35.78986147,3318.58,20.0,0.46,-38.0,12.839
NGC1266,19.25750414,0.07,1.87,0.69,-10.0,11.54629174,0.9,4.01,0.69,-10.0,4.0251309,1.27,20.0,0.69,-10.0,1.74478748,0.48,20.0,0.69,-10.0,1.12077908,148.4,20.0,0.69,-10.0,2.122
NGC1317,10.13911386,11.03,0.71,0.92,63.5,10.67880182,13.8,1.36,0.92,63.5,4.72868091,17.98,1.54,0.92,63.5,2.09537875,22.67,2.61,0.92,63.5,0.79924516,29.78,2.75,0.92,63.5,3.06
NGC1320,3.44191388,7.69,2.08,0.41,-40.3,3.15153785,10.73,1.55,0.41,-40.3,1.4333096,14.33,1.14,0.41,-40.3,0.59437774,16.97,1.12,0.41,-40.3,0.20676642,18.27,2.09,0.41,-40.3,1.774
NGC1351A,1.37151323,40.37,0.13,0.07,-46.8,2.23770343,38.06,0.23,0.07,-46.8,1.73548158,42.61,0.25,0.07,-46.8,0.94951654,44.91,0.17,0.07,-46.8,0.40293966,46.67,0.22,0.07,-46.8,0.758
NGC1386,9.95405417,8.7,2.77,0.49,25.4,8.92323903,11.99,1.86,0.49,25.4,3.68756775,15.86,1.07,0.49,25.4,1.51936646,18.64,1.15,0.49,25.4,0.52854263,19.84,2.88,0.49,25.4,2.106
NGC1427A,0.6886523,30.55,0.54,0.81,-73.8,1.36559691,30.11,0.58,0.81,-73.8,0.75777454,29.65,0.44,0.81,-73.8,0.46694157,29.43,0.65,0.81,-73.8,0.21413123,29.67,0.67,0.81,-73.8,0.726
ESO358-051,1.35893912,11.29,0.51,0.56,6.7,1.41033579,12.06,0.69,0.56,6.7,0.75987124,13.48,0.81,0.56,6.7,0.34806675,15.43,0.87,0.56,6.7,0.13498329,19.08,0.66,0.56,6.7,0.88
ESO358-054,0.44422194,43.97,2.25,0.57,81.5,1.18938519,54.31,1.92,0.57,81.5,0.89689171,67.12,1.22,0.57,81.5,0.67992739,77.54,1.38,0.57,81.5,0.3626436,85.66,1.46,0.57,81.5,0.833
NGC1436,3.58096437,41.23,0.09,0.67,-24.9,6.06069636,46.81,0.06,0.67,-24.9,3.6638696,51.7,0.03,0.67,-24.9,1.72688149,52.22,0.04,0.67,-24.9,0.60183857,43.31,0.14,0.67,-24.9,1.146
UGC02826,6.66561154,11.09,0.4,0.43,-62.8,6.60332278,12.79,0.74,0.43,-62.8,3.11444029,15.75,1.72,0.43,-62.8,1.96255816,38.01,6.12,0.43,-62.8,1.62974635,569.98,19.9,0.43,-62.8,3.954
NGC1437B,1.16842274,16.33,0.21,0.43,4.2,1.9042437,18.28,0.31,0.43,4.2,1.32415861,21.56,0.42,0.43,4.2,0.73529656,25.68,0.61,0.43,4.2,0.35178719,32.82,0.85,0.43,4.2,0.889
ESO358-063,10.70532854,30.79,0.68,0.24,-47.8,13.82046091,34.19,0.65,0.24,-47.8,7.43258712,38.85,0.51,0.24,-47.8,3.41084933,43.41,0.64,0.24,-47.8,1.27843902,49.05,0.71,0.24,-47.8,1.032
IC0342,666.25426168,315.0,0.95,0.81,-40.6,853.57665106,340.96,0.95,0.81,-40.6,401.80932245,381.04,0.42,0.81,-40.6,188.07996507,416.17,0.34,0.81,-40.6,72.82492019,448.53,0.3,0.81,-40.6,29.469
NGC1482,54.65123745,5.56,1.49,0.53,-71.6,43.66390031,7.01,1.69,0.53,-71.6,13.91681995,9.16,1.68,0.53,-71.6,5.11048991,11.51,1.74,0.53,-71.6,1.71506276,14.99,1.09,0.53,-71.6,2.833
NGC1512,6.03559375,7.77,0.05,0.7,18.9,92.89717916,4740.01,19.99,0.7,18.9,7.75782554,80.27,0.05,0.7,18.9,9.7593869,230.19,3.13,0.7,18.9,2.4911508,123.15,1.18,0.7,18.9,4.159
NGC1566,72.05763433,80.34,1.38,0.77,-10.7,67.82074042,62.31,0.84,0.77,-10.7,33.16958277,68.85,0.93,0.77,-10.7,22.00809923,118.34,1.85,0.77,-10.7,5.82746961,79.88,0.81,0.77,-10.7,31.608
IC2085,1.34772101,13.21,1.72,0.48,-70.8,1.56071113,12.93,1.29,0.48,-70.8,0.87566907,14.13,0.94,0.48,-70.8,0.45005183,17.75,0.99,0.48,-70.8,0.22216724,27.68,1.83,0.48,-70.8,1.122
NGC1808,140.0876984,7.2,4.68,0.45,-35.0,124.42926243,26.87,2.85,0.45,-35.0,44.70334372,47.73,0.92,0.45,-35.0,16.31032202,58.73,0.69,0.45,-35.0,8.98421254,51.2,2.91,0.45,-35.0,5.858
NGC2146,211.05711629,9.8,2.06,0.59,-42.4,160.14837149,13.7,3.06,0.59,-42.4,56.12288769,18.68,3.55,0.59,-42.4,21.68016262,23.0,4.44,0.59,-42.4,7.18919092,27.07,3.65,0.59,-42.4,12.179
ESO209-009,37.119319,59.01,1.06,0.16,-26.2,43.86544372,63.69,1.07,0.16,-26.2,23.26697958,72.0,0.94,0.16,-26.2,11.4831896,83.05,1.14,0.16,-26.2,4.87842932,103.21,1.28,0.16,-26.2,4.728
ESO495-021,32.90031075,17.62,7.62,0.76,-57.7,19.18326502,9.77,3.75,0.76,-57.7,6.77235957,15.6,3.07,0.76,-57.7,4.12726672,46.85,10.81,0.76,-57.7,1.70875586,142.63,37.21,0.76,-57.7,13.566
NGC2685,1.80218761,35.05,0.86,0.58,-76.5,3.81278685,42.5,0.38,0.58,-76.5,3.12910408,53.96,0.49,0.58,-76.5,1.44591424,54.19,0.38,0.58,-76.5,0.5524844,53.07,0.35,0.58,-76.5,1.516
UGC04684,1.42036512,25.23,1.37,0.78,-16.5,1.04414912,15.92,0.45,0.78,-16.5,0.6353602,18.01,0.61,0.78,-16.5,0.32147154,19.44,0.27,0.78,-16.5,0.16170372,31.48,0.01,0.78,-16.5,0.747
NGC2798,27.64394371,3.34,4.31,0.87,-17.4,20.55523881,4.45,5.02,0.87,-17.4,6.43783748,6.35,6.69,0.87,-17.4,2.51919935,8.77,4.77,0.87,-17.4,0.79557297,13.04,1.9,0.87,-17.4,2.979
NGC2841,28.92011396,97.37,0.2,0.37,-30.0,48.31951058,104.49,0.21,0.37,-30.0,30.61540498,113.84,0.27,0.37,-30.0,14.87519047,122.35,0.25,0.37,-30.0,5.68433962,131.44,0.29,0.37,-30.0,5.415
ESO373-008,11.46040591,55.31,1.33,0.15,89.5,15.07032183,60.23,1.09,0.15,89.5,8.78091976,67.31,0.63,0.15,89.5,4.81795274,74.74,0.75,0.15,89.5,2.22576863,85.01,0.91,0.15,89.5,2.693
NGC2974,2.56330332,32.7,3.92,0.5,44.2,3.36141804,53.3,2.86,0.5,44.2,2.27164262,74.37,1.22,0.5,44.2,1.14093929,83.96,0.82,0.5,44.2,0.36836641,71.07,0.63,0.5,44.2,1.08
