Name,RAJ2000,DEJ2000,DistBest,HV,FHI,e_FHI,MHI,e_MHI,logMHI,e_logMHI,r_FHI,Flag,SimbadName
ESO097-013,213.2913,-65.339,4.20726698599,434.573404,654.0,103.0,2732057883.0,430278229.2,9.43649,0.068972,Huchtmeier1989,0,ESO097-013
ESO116-012,48.2697,-57.35714,21.978599114,1142.878102,24.5,0.567696,2793046092.0,64718461.13,9.446078,0.010065,Meyer2004,0,ESO116-012
ESO149-001,356.9529,-57.07261,20.8929695668,1897.137689,32.8,1.33,3378984425.0,137013697.7,9.528786,0.01762,Meyer2004,0,ESO149-001
ESO149-013,0.6945,-52.77158,20.2484980885,1496.530941,5.6,0.29568,541858213.5,28610109.22,8.733886,0.022952,Meyer2004,0,ESO149-013
ESO157-047,69.8301,-54.21068,21.4909885309,1655.375013,4.4,0.427667,479598111.4,46615539.93,8.680877,0.042346,Meyer2004,0,ESO157-047
ESO157-049,69.9036,-53.01267,23.6592009233,1671.359322,10.4,0.426856,1373869516.0,56388954.69,9.137945,0.017835,Meyer2004,0,ESO157-049
ESO209-009,119.5644,-49.85424,12.5892513534,1117.902619,92.4,2.63,3456079973.0,98371107.47,9.538584,0.012365,Meyer2004,0,ESO209-009
ESO240-004,351.9711,-51.13189,20.6063052867,1574.454448,3.981073,,398944438.3,,8.600912,,Mathewson1992,0,ESO240-004
ESO289-020,335.29875,-45.67673,12.7252867286,932.085026,,,,,,,,,ESO289-020
ESO351-030,15.03885,-33.709,0.0843334061453,108.893106,158.489375,1.466518,266018.2538,2461.493194,5.424911,0.004019,Bouchard2003,0,ESO351-030
ESO358-006,51.82515,-34.52639,20.4173767566,1265.757479,,,,,,,,,ESO358-006
ESO358-015,53.27805,-34.80702,16.1435923747,1384.640778,2.4,0.281369,147612661.5,17305655.39,8.169124,0.051151,Meyer2004,0,ESO358-015
ESO358-016,53.28885,-35.71908,22.2829055161,1696.334805,1.191243,,139590546.3,,8.144856,,Bureau1996,0,ESO358-016
ESO358-019,53.6286,-34.2975,16.043145822,1361.663333,,,,,,,,,ESO358-019
ESO358-042,54.5382,-34.51858,20.4173767566,1160.86045,,,,,,,,,ESO358-042
ESO358-043,54.5568,-33.12725,20.7969591987,1379.645681,,,,,,,,,ESO358-043
ESO358-050,55.2651,-33.77946,19.6788480318,1297.726097,,,,,,,,,ESO358-050
ESO358-051,55.38585,-34.88838,14.3,1711.320095,2.8,0.8,135126992.0,38607712.0,8.130742,0.127636,Theureau1998,0,ESO358-051
