nID,Name,catID,RAJ2000,DEJ2000,CHB,FOII,FHb,FOIII4959,FOIII5007,FHa,FNII6584,FSII6717,FSII6731,Ref
1,ESO097-013,ESO097-013-305,213.2849007,-65.3485923,0.0,,1.0,0.091084,0.230617,2.400311,1.058991,0.362535,0.264228,MUSE
2,ESO097-013,ESO097-013_2-78,213.2849007,-65.3469256,0.0,,1.0,0.09133,0.2948,2.66336,1.12865,0.582517,0.43732,MUSE
3,ESO097-013,ESO097-013-226,213.2968792,-65.3285918,0.0,,1.0,0.050113,0.447197,2.330577,1.001017,0.372755,0.234587,MUSE
4,ESO097-013,ESO097-013-218,213.2968852,-65.3419251,0.552066,,1.0,0.074725,0.232458,2.864046,1.322978,0.40817,0.310954,MUSE
5,ESO097-013,ESO097-013_2-56,213.2928919,-65.3469254,0.025807,,1.0,0.107789,0.328859,2.8627,1.454901,0.471737,0.357898,MUSE
6,ESO097-013,ESO097-013-219,213.2968845,-65.3402585,0.298117,,1.0,0.071135,0.221096,2.863891,1.347862,0.411186,0.318704,MUSE
7,ESO097-013,ESO097-013_2-10,213.3128541,-65.331923,0.0,,1.0,0.192066,0.321803,1.62231,0.718911,0.458043,0.276695,MUSE
8,ESO097-013,ESO097-013_2-37,213.3008801,-65.3419248,0.743618,,1.0,0.065077,0.320839,2.861194,1.37159,0.536253,0.39681,MUSE
9,ESO097-013,ESO097-013-247,213.2928909,-65.3435921,0.433678,,1.0,0.119272,0.364177,2.862537,1.39482,0.453242,0.338876,MUSE
10,ESO097-013,ESO097-013_2-50,213.2968837,-65.3385918,0.623713,,1.0,0.085979,0.316515,2.861337,1.429515,0.491869,0.414595,MUSE
11,ESO097-013,ESO097-013-306,213.2849007,-65.3469256,0.207588,,1.0,0.076805,0.268411,2.86346,1.388711,0.413581,0.318708,MUSE
12,ESO097-013,ESO097-013_2-5,213.3128629,-65.3402564,0.0,,1.0,0.043591,0.351687,1.973958,0.88131,0.374762,0.250603,MUSE
13,ESO097-013,ESO097-013-402,213.2689141,-65.3535914,0.499719,,1.0,0.207434,,2.86246,1.780015,,-99.0,MUSE
14,ESO097-013,ESO097-013-242,213.2928934,-65.3519254,0.461728,,1.0,,-99.0,2.863831,2.446637,,-99.0,MUSE
15,ESO097-013,ESO097-013-354,213.2769064,-65.3569254,0.42307,,1.0,0.151262,,2.863563,2.821129,,-99.0,MUSE
16,ESO097-013,ESO097-013-275,213.2888965,-65.3485922,0.0,,1.0,0.061015,0.190445,2.854655,1.368748,0.341653,0.255381,MUSE
17,ESO097-013,ESO097-013_2-12,213.3088744,-65.3469237,0.0,,1.0,0.171736,0.46451,1.63417,0.61228,0.307842,0.248669,MUSE
18,ESO097-013,ESO097-013_2-67,213.2888963,-65.3469256,0.0,,1.0,0.10723,0.334803,2.533685,1.170677,0.513454,0.379652,MUSE
19,ESO097-013,ESO097-013_2-49,213.2968845,-65.3402585,0.232436,,1.0,0.054041,0.201421,2.862248,1.285659,0.436658,0.336414,MUSE
20,ESO097-013,ESO097-013_2-48,213.2968852,-65.3419251,0.52693,,1.0,0.069257,0.228439,2.861732,1.286994,0.429276,0.320885,MUSE
21,ESO116-012,ESO116-012,48.2697917,-57.3572222,1.210455,,1.0,,1.163099,2.856813,0.898958,0.809181,0.652148,6df
22,ESO149-001,ESO149-001,356.9530833,-57.0725,0.0,,1.0,0.755003,2.178234,2.057218,0.183758,0.261535,0.189,6df
23,ESO157-047,ESO157-047,69.8300833,-54.2108889,0.097501,,1.0,1.051813,2.952007,2.859743,0.264276,0.428909,0.29958,6df
24,ESO157-049,ESO157-049,69.9036667,-53.0126389,0.098038,,1.0,1.044692,2.90763,2.859742,0.263755,0.425001,0.29743,6df
25,ESO157-049,ESO157-049-115,69.9051871,-53.0104386,0.947475,,1.0,0.149222,0.536095,2.858981,0.832803,0.66686,0.436391,MUSE
26,ESO157-049,ESO157-049-100,69.9070335,-53.0071052,0.610336,,1.0,0.148878,0.494293,2.858934,1.07824,1.100359,0.691507,MUSE
27,ESO157-049,ESO157-049-129,69.9033403,-53.0148831,0.357563,,1.0,0.14401,0.49583,2.859747,1.11209,1.047756,0.677088,MUSE
28,ESO157-049,ESO157-049-110,69.9051873,-53.0159942,0.230846,,1.0,0.230609,0.650259,2.861832,1.027397,1.024524,0.713544,MUSE
29,ESO157-049,ESO157-049-133,69.9033404,-53.0104386,0.411377,,1.0,0.13587,0.452521,2.859705,1.129481,1.080235,0.709833,MUSE
