Name,RAJ2000,DEJ2000,z,SF,AGN,Comp,12+logOHPG16S,MzPG16S,12+logOHPG16R,MzPG16R,12+logOHN2,MzN2,12+logOHO3N2,MzO3N2,12+logOHIZI,MzIZI,12+logOHKK04,MzK04,12+logOHT04,MzT04,logNOPG16
ESO097-013,213.2913,-65.339,0.00094,20,60,49,8.303,8.062052,,,8.961,8.699309,8.614,8.35957,8.963,8.701282,,,8.867,8.606753,
ESO149-001,356.9529,-57.07261,0.00469,1,0,0,,,,,8.222,,8.223,,8.169,,,,8.4,,
ESO149-013,0.6945,-52.77158,0.00455,0,0,0,,,,,,,,,,,,,,,
ESO157-047,69.8301,-54.21068,0.00482,1,0,0,,,,,8.23,,8.188,,8.248,,,,8.348,,
ESO157-049,69.9036,-53.01267,0.00531,62,0,9,8.431,7.385444,,,8.646,7.562391,8.663,7.577001,8.542,7.474872,,,8.928,7.813678,
ESO209-009,119.5644,-49.85424,0.00283,0,1,0,,,,,,,,,,,,,,,
ESO240-004,351.9711,-51.13189,0.00463,1,0,0,,,,,8.21,,8.186,,8.25,,,,8.342,,
ESO351-030,15.03885,-33.709,2e-05,0,0,0,,,,,,,,,,,,,,,
ESO358-015,53.27805,-34.80702,0.00362,1,0,0,,,,,8.602,,8.495,,8.461,,,,8.734,,
ESO358-016,53.28885,-35.71908,0.005,0,0,0,,,,,,,,,,,,,,,
ESO358-051,55.38585,-34.88838,0.00321,65,0,2,8.264,6.265974,,,8.453,6.415051,8.504,6.45747,8.455,6.416698,,,8.75,6.672299,
ESO358-054,55.75965,-36.27269,0.00379,90,1,1,8.129,6.611558,,,8.34,6.773125,8.43,6.84717,8.435,6.851361,,,8.656,7.043549,
ESO358-060,56.3013,-35.57055,0.00352,0,0,0,7.463892,5.853447,7.491376,5.879462,7.957732,6.330717,8.074608,6.445706,7.87681,6.251425,,,8.112328,6.482917,-1.282289
ESO358-063,56.5791,-34.94359,0.00378,1,0,0,,,,,8.737,,8.664,,8.702,,,,8.927,,
ESO373-008,143.33955,-33.03346,0.00217,0,0,0,,,,,,,,,,,,,,,
ESO407-018,351.61605,-32.38858,0.0005,3,0,1,,,,,8.823,,,,8.592,,,,,,
ESO410-012,7.0752,-27.98335,0.00472,0,0,0,,,,,,,,,,,,,,,
ESO410-018,8.54625,-30.77392,0.00427,1,0,0,,,,,8.363,,8.428,,,,,,8.658,,
ESO411-013,11.77665,-31.58135,0.00534,0,0,0,,,,,,,,,,,,,,,
ESO411-016,11.91495,-27.94758,0.00541,3,0,0,,,,,8.387,,8.359,,8.323,,,,8.573,,
ESO411-026,13.18965,-31.71818,0.00477,0,0,0,,,,,,,,,,,,,,,
ESO471-006,355.9431,-31.95695,0.00098,0,0,0,7.631196,5.56534,7.639348,5.573439,8.118331,6.050559,8.237478,6.169483,8.08718,6.019477,,,8.398816,6.330603,-1.456996
ESO493-016,117.18255,-26.24659,0.00538,0,0,0,,,,,,,,,,,,,,,
ESO495-021,129.0633,-26.40933,0.00185,76,2,4,8.445015,6.575314,8.505166,6.624528,8.654218,6.751364,8.60393,6.707857,8.521787,6.638341,,,8.860271,6.935861,-0.956369
ESO549-035,58.76625,-20.38338,0.00873,1,0,0,,,,,8.251,,8.247,,8.15,,,,8.43,,
ESO560-004,114.75195,-22.04626,0.00842,0,0,0,,,,,,,,,,,,,,,
ESO603-031,344.3601,-17.88565,0.00797,1,1,0,,,,,8.439,,8.472,,8.212,,,,8.708,,
IC0010,5.09625,59.2931,0.00018,11,1,0,8.042,5.793172,7.778,5.587027,8.196,5.924505,8.226,5.950841,7.68,5.518132,,,8.393,6.101096,
IC0342,56.7054,68.10139,0.00077,7,0,0,8.554,8.299178,8.376,8.145005,8.637,8.373685,8.765,8.491162,8.77,8.495807,9.026,8.737894,8.925,8.641479,-0.886
IC0610,156.6183,20.22826,0.00656,1,2,0,8.522,7.322448,,,8.656,7.418163,8.796,7.526524,8.904,7.6151,,,9.086,7.772319,
IC0691,171.6846,59.15548,0.00532,3,0,0,8.309,7.02156,8.467997,7.166039,8.352,7.060147,8.284,6.999311,8.328,7.038562,8.44319,7.143191,8.484,7.180832,-1.092726
IC0755,180.29355,14.10398,0.00403,3,0,0,8.116,6.76578,8.462056,7.082268,8.259,6.893929,8.278,6.911267,8.339,6.967361,8.3461,6.97393,8.454,7.074682,-0.851234
IC0797,187.97835,15.12369,0.00521,3,0,0,8.452,7.0103,,,8.49,7.03846,8.66,7.171694,8.73,7.229607,,,8.922,7.395814,
IC0800,188.48625,15.35462,0.00314,3,0,0,8.346,6.232046,,,8.488,6.336004,8.737,6.537658,8.865,6.648842,,,9.016,6.784898,
IC0902,204.0051,49.96076,0.00621,2,0,0,8.431,7.453826,,,8.663,7.615284,8.62,7.58343,8.506,7.503128,8.45937,7.472131,8.877,7.784886,
IC1613,16.1991,2.11773,0.00017,39,3,1,7.907579,5.491071,7.783639,5.391457,8.272471,5.810616,8.452984,5.978606,8.361138,5.892528,,,8.71908,6.233258,-1.472538
IC2233,123.4953,45.74251,0.00314,1,1,0,8.069,7.062703,,,8.167,7.152996,8.12,7.109493,8.234,7.215582,,,8.233,7.214643,
IC2461,139.99185,37.19121,0.01173,0,1,0,,,,,,,,,,,,,,,
IC2531,149.98125,-29.61755,0.008,0,1,0,,,,,,,,,,,,,,,
IC2574,157.10235,68.41319,0.0009,2,0,0,,,,,8.188342,,8.587097,,7.99008,,,,8.838856,,
IC2828,171.7956,8.73117,0.00323,3,0,0,8.098,6.012059,,,8.167,6.067227,8.134,6.040623,8.269,6.151797,,,8.23,6.119064,
IC3021,182.4771,13.04974,0.01268,1,0,0,8.424,7.103905,,,8.669,7.343617,8.559,7.235636,8.479,7.157453,,,8.805,7.477725,
IC3023,182.50725,14.36664,0.00173,1,0,0,8.137,5.43372,,,8.543,5.823808,8.453,5.736214,8.558,5.838452,,,8.688,5.965824,
IC3033,182.7915,13.5875,0.00403,1,0,0,,,,,,,,,,,,,,,
IC3044,183.2016,13.97575,0.00397,1,0,0,8.114,6.6303,,,8.339,6.835436,8.387,6.880292,8.385,6.878416,,,8.609,7.091348,
IC3059,183.72945,13.46058,0.00534,1,0,0,,,,,8.693,,,,8.227,,,,,,
IC3061,183.76875,14.02874,0.00923,3,0,0,8.517,7.92748,,,8.753,8.125505,8.62,8.01177,8.558,7.960596,,,8.879,8.237435,
IC3077,183.98475,14.43285,0.00205,1,0,0,8.28,5.420682,,,8.492,5.626629,8.576,5.708922,8.378,5.515527,,,8.828,5.957379,
IC3096,184.2183,14.51493,0.00314,1,0,0,8.28,5.775556,,,8.533,5.95567,8.57,5.984394,8.446,5.890382,,,8.819,6.19033,
IC3099,184.2885,12.45382,0.00775,1,0,0,8.309,7.257071,,,8.506,7.428101,8.567,7.482948,8.394,7.329606,,,8.816,7.713635,
IC3102,184.35735,6.68993,0.00629,0,1,0,,,,,,,,,,,,,,,
IC3104,184.692,-79.72593,0.00053,0,0,0,,,,,,,,,,,,,,,
IC3105,184.3902,12.38736,0.00317,1,0,0,7.904,6.149639,,,8.08,6.305074,8.049,6.277182,8.191,6.406464,,,8.105,6.32771,
IC3115,184.4994,6.65409,0.00549,0,0,1,,,,,,,,,,,,,,,
IC3229,185.71995,6.67984,0.00546,1,0,0,8.216,6.574756,,,8.472,6.772955,8.44,6.746802,8.408,6.72101,,,8.672,6.94357,
IC3258,185.93535,12.47781,0.00288,3,1,0,8.006,6.164476,8.217637,6.301671,8.155,6.258648,8.125,6.238741,8.205,6.292836,,,8.246,6.321781,-1.286451
IC3259,185.95215,7.18627,0.00385,4,0,0,8.404,6.682356,,,8.568,6.783327,8.625,6.821751,8.675,6.856779,,,8.884,7.015266,
