nID,Name,catID,RAJ2000,DEJ2000,CHB,12+logOHPG16S,12+logOHPG16R,12+logOHN2,12+logOHO3N2,12+logOHIZI,IZIchi2,12+logOHKK04,12+logOHT04,logNOPG16,r/r25,r/app,Ref
1,ESO097-013,ESO097-013-305,213.2849007,-65.3485923,0.0,8.593193,,8.793354,8.820155,8.91248,0.090784,,9.117844,,0.139337911979412,0.0908792314614837,MUSE
2,ESO097-013,ESO097-013_2-78,213.2849007,-65.3469256,0.0,8.540963,,8.771665,8.780433,8.79921,0.0645835,,9.066235,,0.116297480737994,0.0758517586508492,MUSE
3,ESO097-013,ESO097-013-226,213.2968792,-65.3285918,0.0,8.580069,,8.778853,8.724393,8.88012,0.39185,,8.997122,,0.150373999368448,0.0980772088533479,MUSE
4,ESO097-013,ESO097-013-218,213.2968852,-65.3419251,0.552066,8.638968,,8.81877,8.825433,8.8963,0.144661,,9.124893,,0.063894234519266,0.04167321617959,MUSE
5,ESO097-013,ESO097-013_2-56,213.2928919,-65.3469254,0.025807,8.651548,,8.874037,8.790495,8.83157,0.290115,,9.07908,,0.119542516478338,0.077968241881853,MUSE
6,ESO097-013,ESO097-013-219,213.2968845,-65.3402585,0.298117,8.642458,,8.829324,8.834995,8.91248,0.204602,,9.137787,,0.0466613662463456,0.0304335628629004,MUSE
7,ESO097-013,ESO097-013_2-10,213.3128541,-65.331923,0.0,8.456544,,8.795764,8.774464,8.83157,0.455531,,9.058684,,0.165463604284819,0.107918978967284,MUSE
8,ESO097-013,ESO097-013_2-37,213.3008801,-65.3419248,0.743618,8.617176,,8.839834,8.785805,8.83157,0.283141,,9.073074,,0.0869538869758142,0.0567132254868176,MUSE
9,ESO097-013,ESO097-013-247,213.2928909,-65.3435921,0.433678,8.644587,,8.849263,8.770466,8.83157,0.233486,,9.053653,,0.0707769995806172,0.0461623059773327,MUSE
10,ESO097-013,ESO097-013_2-50,213.2968837,-65.3385918,0.623713,8.634557,,8.863884,8.793432,8.83157,0.270958,,9.082857,,0.0384475412928313,0.0250763267128077,MUSE
11,ESO097-013,ESO097-013-306,213.2849007,-65.3469256,0.207588,,,8.846532,8.812215,8.8963,0.202747,,9.107328,,0.116297480737994,0.0758517586508492,MUSE
12,ESO097-013,ESO097-013_2-5,213.3128629,-65.3402564,0.0,,,8.799865,8.763163,8.8963,0.267288,,9.044519,,0.156250282142371,0.101909848906282,MUSE
13,ESO097-013,ESO097-013-402,213.2689141,-65.3535914,0.499719,,,9.002002,,8.94485,0.513042,,,,0.239192393961508,0.156006506957462,MUSE
14,ESO097-013,ESO097-013-242,213.2928934,-65.3519254,0.461728,,,9.236982,,8.96103,2.54071,,,,0.193022277733385,0.125893348092851,MUSE
15,ESO097-013,ESO097-013-354,213.2769064,-65.3569254,0.42307,,,9.356891,,8.96103,1.67652,,,,0.262929023827886,0.171488055726909,MUSE
16,ESO097-013,ESO097-013-275,213.2888965,-65.3485922,0.0,,,8.839956,8.85832,8.92867,0.207726,,9.169943,,0.13888931254868,0.0905866451084965,MUSE
17,ESO097-013,ESO097-013_2-12,213.3088744,-65.3469237,0.0,8.456426,,8.708749,8.700131,8.84775,0.361883,,8.968268,,0.186316982143165,0.121520007762825,MUSE
18,ESO097-013,ESO097-013_2-67,213.2888963,-65.3469256,0.0,8.574314,,8.818915,8.774767,8.81539,0.0968289,,9.059065,,0.114544779008704,0.0747086082772263,MUSE
19,ESO097-013,ESO097-013_2-49,213.2968845,-65.3402585,0.232436,8.620104,,8.803196,8.84146,8.91248,0.14376,,9.146599,,0.0466613662463456,0.0304335628629004,MUSE
20,ESO097-013,ESO097-013_2-48,213.2968852,-65.3419251,0.52693,8.62515,,8.803868,8.824136,8.8963,0.115592,,9.123157,,0.063894234519266,0.04167321617959,MUSE
