Ref,BibCode,Aut,Com
Bettoni2003,2003A&A...405....5B,Bettoni et al.,Cat. J/A+A/405/5
Boselli2014,2014A&A...564A..65B,Boselli et al.,Cat. J/A+A/564/A65
Bottinelli1980,1980A&AS...40..355B,Bottinelli et al.,
Bottinelli1982,1982A&AS...47..171B,Bottinelli et al.,
Bouchard2003,2003AJ....126.1295B,Bouchard et al.,
Bureau1996,1996ApJ...463...60B,Bureau et al.,
Casasola2004,2004A&A...422..941C,Casasola et al.,Cat. J/A+A/422/941
Chamaraux1999,1999MNRAS.307..236C,Chamaraux et al.,Cat. J/MNRAS/307/236
Clark2015,2015MNRAS.452..397C,Clark et al.,Cat. J/MNRAS/452/397
Courtois2009,2009AJ....138.1938C,Courtois et al.,Cat. J/AJ/138/1938
Davoust2004,2004A&A...416..515D,Davoust & Contini,Cat. J/A+A/416/515
Garcia1992,1992A&AS...96..435G,Garcia et al.,
Haynes2018,2018ApJ...861...49H,Haynes et al.,
Huchtmeier1989,1989H&RHI.C......0H,Huchtmeier & Richter,Cat. VIII/68
Huchtmeier1995,1995A&A...300..675H,Huchtmeier et al.,
Huchtmeier2000,2000A&AS..141..469H,Huchtmeier et al.,Cat. J/A+AS/141/469
Huchtmeier2003,2003A&A...401..483H,Huchtmeier et al.,
Huchtmeier2005,2005A&A...434..887H,Huchtmeier et al.,Cat. J/A+A/434/887
Kilborn2002,2002AJ....124..690K,Kilborn et al.,Cat. J/AJ/124/690
Koribalski2004,2004AJ....128...16K,Koribalski et al.,Cat. J/AJ/128/16
Lang2003,2003MNRAS.342..738L,Lang et al.,Cat. J/MNRAS/342/738
Martin1991,1991A&A...245..393M,Martin et al.,
Masters2014,2014MNRAS.443.1044M,Masters et al.,Cat. J/MNRAS/443/1044
Mathewson1992,1992ApJS...81..413M,Mathewson et al.,Cat. J/ApJS/81/413
Meyer2004,2004MNRAS.350.1195M,Meyer et al.,Cat. VIII/73
Nordgren1998,1998ApJS..115...43N,Nordgren et al.,
Ott2012,2012AJ....144..123O,Ott et al.,
Paturel2003,2003A&A...412...57P,Paturel et al.,Cat. VII/238
Schneider1992,1992ApJS...81....5S,Schneider et al.,Cat. J/ApJS/81/5
Smoker2000,2000A&A...361...19S,Smoker et al.,
Springob2005,2005ApJS..160..149S,Springob et al.,Cat. VIII/77
Staveley-Smith2016,2016AJ....151...52S,Staveley-Smith et al.,Cat. J/AJ/151/52
Theureau1998,1998A&AS..130..333T,Theureau et al.,Cat. J/A+AS/130/333
Theureau2005,2005A&A...430..373T,Theureau et al.,Cat. J/A+A/430/373
Theureau2007,2007A&A...465...71T,Theureau et al.,Cat. J/A+A/465/71
Tifft1988,1988ApJS...67....1T,Tifft & Cocke,
Wong2006,2006MNRAS.371.1855W,Wong et al.,Cat. VIII/89
Wong2008,2008AJ....136.2563W,Wong et al.,Cat. J/AJ/136/2563
vanDriel2016,2016A&A...595A.118V,van Driel et al.,Cat. J/A+A/595/A118
2df,2001MNRAS.328.1039C,Colless et al.,Cat. VII/250
6df,2009MNRAS.399..683J,Jones et al.,Cat. VII/259
Anni10,2010A&A...519A..40A,Annibali et al.,Cat. J/A+A/519/A40
Bres99,1999ApJ...510..104B,Bresolin et al.,Cat. J/ApJ/510/104
Bres02,2002ApJ...572..838B,Bresolin & Kennicutt,
Bres05,2005A&A...441..981B,Bresolin et al.,Cat. J/A+A/441/981
Bres09,2009ApJ...695..580B,Bresolin et al.,Cat. J/ApJ/695/580
Bres12,2012ApJ...750..122B,Bresolin et al.,
CALIFA,Sanchez et al.,,
