Name,Mdust,e_Mdust,T,e_T
ESO097-013,5.28,1.16,26,3
ESO149-001,1.69,0.67,20,3
ESO149-013,0.06,0.09,18,4
ESO157-047,0.18,0.28,18,3
ESO157-049,2.76,0.98,25,2
ESO209-009,14.93,3.04,20,2
ESO240-004,0.33,0.22,19,3
ESO351-030,0.0,0.0,9,4
ESO358-015,0.04,0.05,17,4
ESO358-016,0.13,0.21,18,3
ESO358-019,0.08,0.13,17,3
ESO358-042,0.02,0.03,17,4
ESO358-043,0.56,0.33,17,3
ESO358-050,0.2,0.19,19,3
ESO358-051,0.56,0.3,21,2
ESO358-054,1.15,0.45,16,2
ESO358-056,0.03,0.05,18,4
ESO358-059,0.04,0.05,17,4
ESO358-060,0.03,0.05,17,4
ESO358-063,6.13,0.39,22,0
ESO358-066,0.05,0.07,18,4
ESO359-002,0.07,0.11,18,4
ESO373-008,4.68,1.1,18,2
ESO377-039,1.0,0.62,20,3
ESO405-014,0.26,0.45,18,3
ESO406-031,0.69,0.31,19,2
ESO407-002,1.2,0.25,23,1
ESO407-018,0.0,0.0,15,4
ESO410-012,0.08,0.14,17,3
ESO410-018,1.04,0.46,18,2
ESO411-013,0.27,0.27,18,3
ESO411-016,0.48,0.37,17,3
ESO411-026,0.14,0.18,18,3
ESO411-027,0.18,0.21,19,3
ESO428-014,0.83,1.48,20,4
ESO434-040,0.37,0.41,19,3
ESO493-016,16.5,1.41,25,0
ESO495-021,0.55,0.02,32,0
ESO549-035,1.15,0.54,20,3
ESO560-004,10.63,1.29,26,1
ESO603-031,1.47,0.69,20,3
IC0010,0.17,0.03,25,1
IC0335,0.1,0.14,18,4
IC0342,6.01,0.36,27,0
IC0610,5.33,0.43,24,1
IC0691,0.89,0.07,30,1
IC0755,0.78,0.22,22,2
IC0781,0.08,0.11,16,3
IC0782,0.11,0.17,18,4
IC0783,0.35,0.26,17,2
IC0797,2.9,0.46,21,1
IC0800,0.56,0.14,20,2
IC0902,9.52,1.41,18,1
IC0976,0.04,0.07,18,4
IC1613,0.02,0.01,18,3
IC2085,0.99,0.3,19,2
IC2163,0.42,0.17,24,2
IC2461,23.41,2.08,20,1
IC2531,42.66,2.36,19,0
IC2574,0.28,0.09,21,2
IC2828,0.29,0.11,20,2
IC3019,0.03,0.04,17,4
IC3021,0.19,0.29,19,4
IC3033,0.22,0.17,18,3
IC3044,0.29,0.2,19,3
IC3059,0.68,0.43,18,3
IC3061,9.61,1.83,21,1
IC3065,0.03,0.04,17,4
IC3077,0.01,0.02,17,4
IC3096,0.12,0.06,20,3
IC3099,1.67,0.62,21,2
IC3100,0.03,0.04,16,3
IC3102,3.11,0.77,21,2
IC3104,0.03,0.04,17,3
IC3105,0.21,0.11,18,3
IC3115,3.91,1.09,18,1
IC3131,0.03,0.05,17,4
IC3167,0.03,0.04,17,3
IC3229,0.67,0.25,20,2
IC3258,0.47,0.11,22,1
IC3259,1.5,0.26,18,1
IC3267,4.03,0.72,20,1
IC3268,2.81,0.41,24,1
IC3305,0.09,0.14,18,3
IC3311,1.5,0.41,18,1
IC3322,2.7,0.35,21,1
IC3331,0.01,0.02,17,4
IC3355,0.0,0.0,14,4
IC3358,0.04,0.04,21,5
IC3371,0.58,0.53,19,3
IC3381,0.04,0.06,17,4
IC3391,2.3,0.45,21,1
IC3392,0.87,0.1,22,1
IC3393,0.06,0.08,18,3
IC3413,0.17,0.25,18,3
IC3430,0.21,0.16,18,3
IC3459,0.0,0.0,13,4
IC3468,0.03,0.04,18,4
IC3475,0.17,0.27,18,3
IC3476,1.0,0.1,22,1
IC3499,0.01,0.02,16,4
IC3509,0.04,0.06,18,4
IC3517,0.38,0.16,19,2
IC3518,0.2,0.17,16,3
IC3521,1.26,0.15,22,1
IC3586,0.29,0.24,17,3
IC3611,0.55,0.89,19,3
IC3631,0.23,0.3,19,4
IC3718,0.04,0.04,17,3
