galaxy,disk_class,disk_agreement,co_bar_class,co_bar_agreement,spiral_class,spiral_agreement,source_table_status
IC5332,,,,,,,not_in_validated_table
NGC0628,Y,1.0,A,0.9,G,1.0,validated
NGC1087,Y,1.0,B,1.0,,0.5,validated_spiral_nonagreement
NGC1300,Y,1.0,C,1.0,G,1.0,validated
NGC1365,Y,1.0,C,0.9,G,0.7,validated
NGC1385,Y,1.0,A,1.0,F,1.0,validated
NGC1433,Y,1.0,C,0.9,,0.4,validated_spiral_nonagreement
NGC1512,Y,1.0,C,0.9,,0.5,validated_spiral_nonagreement
NGC1566,Y,1.0,C,0.7,G,1.0,validated
NGC1672,Y,1.0,C,1.0,G,0.6,validated
NGC2835,,,,,,,not_in_validated_table
NGC3351,Y,1.0,C,0.9,F,0.6,validated
NGC3627,Y,1.0,C,1.0,G,0.8,validated
NGC4254,Y,1.0,A,0.8,M,0.9,validated
NGC4303,Y,1.0,C,1.0,M,0.7,validated
NGC4321,Y,1.0,C,1.0,G,1.0,validated
NGC4535,Y,1.0,C,1.0,G,0.9,validated
NGC5068,Y,0.7,A,0.7,F,0.7,validated
NGC7496,Y,1.0,C,0.8,F,0.7,validated
