Name,R.A.,Dec.,Distance,Stellar Mass,Star Formation Rate,ALMA,VLT/MUSE,HST
,(degrees),(degrees),(Mpc),log10(M/M☉),log10(SFR/M☉/yr),CO(2-1),Optical IFU,Optical imaging
NGC0628,24.1742,15.7835,9.8,10.34,0.29,TRUE,TRUE,FALSE
NGC0685,26.9284,-52.7618,16.0,9.83,-0.77,TRUE,FALSE,FALSE
NGC1097,41.5796,-30.2750,14.2,10.85,0.52,TRUE,FALSE,TRUE
NGC1087,41.6049,-0.4987,14.4,9.81,0.01,TRUE,TRUE,TRUE
NGC1300,49.9211,-19.4112,26.1,10.86,0.37,TRUE,TRUE,TRUE
NGC1317,50.6844,-37.1038,19.0,10.54,-0.31,TRUE,FALSE,TRUE
IC1954,52.8808,-51.9049,15.2,9.80,-0.25,TRUE,FALSE,TRUE
NGC1365,53.4017,-36.1405,18.0,10.97,0.86,TRUE,TRUE,TRUE
NGC1385,54.3680,-24.5012,22.7,10.22,0.49,TRUE,TRUE,TRUE
NGC1433,55.5064,-47.2220,16.8,10.71,-0.02,TRUE,TRUE,FALSE
NGC1511,59.9099,-67.6366,15.6,9.98,0.06,TRUE,FALSE,FALSE
NGC1512,60.9762,-43.3488,16.8,10.60,-0.09,TRUE,TRUE,FALSE
NGC1546,63.6518,-56.0609,18.0,10.30,-0.11,TRUE,FALSE,FALSE
NGC1559,64.3991,-62.7837,12.6,9.91,0.20,TRUE,FALSE,TRUE
NGC1566,65.0016,-54.9378,18.0,10.79,0.63,TRUE,TRUE,FALSE
NGC1637,70.3675,-2.8579,9.8,9.76,-0.74,TRUE,FALSE,FALSE
NGC1672,71.4271,-59.2473,11.9,10.36,0.30,TRUE,TRUE,TRUE
NGC1809,75.5224,-69.5679,15.0,9.98,-0.05,TRUE,FALSE,FALSE
NGC1792,76.3101,-37.9806,12.8,10.36,0.29,TRUE,FALSE,TRUE
NGC2090,86.7579,-34.2505,11.8,10.04,-0.41,TRUE,FALSE,FALSE
NGC2283,101.4706,-18.2118,10.4,9.96,-0.86,TRUE,FALSE,FALSE
NGC2566,124.6900,-25.4995,23.7,10.67,0.33,TRUE,FALSE,FALSE
NGC2775,137.5838,7.0380,17.0,10.80,-0.22,TRUE,FALSE,TRUE
NGC2835,139.4703,-22.3546,10.1,9.87,-0.08,TRUE,TRUE,TRUE
NGC2903,143.0421,21.5016,8.5,10.49,0.25,TRUE,FALSE,TRUE
NGC2997,146.4116,-31.1911,11.3,10.57,0.51,TRUE,FALSE,FALSE
NGC3059,147.5340,-73.9222,19.8,10.40,0.11,TRUE,FALSE,FALSE
NGC3137,152.2809,-29.0642,14.9,9.82,-0.20,TRUE,FALSE,FALSE
NGC3239,156.2703,17.1637,10.0,9.84,-0.34,TRUE,FALSE,FALSE
NGC3351,160.9904,11.7037,10.0,10.37,-0.11,TRUE,TRUE,TRUE
NGC3511,165.8490,-23.0866,9.9,9.71,-0.30,TRUE,FALSE,FALSE
NGC3507,165.8558,18.1353,20.9,10.45,0.00,TRUE,FALSE,FALSE
NGC3521,166.4531,-0.0348,11.2,10.81,0.45,TRUE,FALSE,FALSE
NGC3596,168.7759,14.7871,10.1,9.46,-0.53,TRUE,FALSE,FALSE
NGC3621,169.5686,-32.8140,6.6,10.54,-0.02,TRUE,FALSE,TRUE
NGC3626,170.0158,18.3568,20.0,10.43,-0.55,TRUE,FALSE,FALSE
NGC3627,170.0625,12.9916,8.3,10.61,0.22,TRUE,TRUE,TRUE
NGC4207,183.8770,9.5849,16.8,9.65,-0.66,TRUE,FALSE,FALSE
NGC4254,184.7067,14.4168,16.8,10.56,0.72,TRUE,TRUE,TRUE
NGC4293,185.3040,18.3830,16.0,10.51,-0.49,TRUE,FALSE,FALSE
NGC4298,185.3867,14.6061,16.8,10.04,-0.22,TRUE,FALSE,TRUE
NGC4303,185.4784,4.4738,17.6,10.72,0.77,TRUE,TRUE,TRUE
NGC4321,185.7287,15.8222,15.2,10.73,0.55,TRUE,TRUE,TRUE
NGC4424,186.7987,9.4204,6.0,9.08,-1.51,TRUE,FALSE,FALSE
NGC4457,187.2459,3.5706,15.6,10.39,-0.45,TRUE,FALSE,FALSE
NGC4496A,187.9135,3.9396,14.9,9.62,-0.21,TRUE,FALSE,FALSE
NGC4535,188.5845,8.1980,15.8,10.56,0.34,TRUE,TRUE,TRUE
NGC4536,188.6128,2.1879,14.9,10.33,0.21,TRUE,FALSE,TRUE
NGC4540,188.7118,15.5513,16.8,9.74,-0.57,TRUE,FALSE,FALSE
NGC4548,188.8604,14.4961,16.2,10.67,-0.14,TRUE,FALSE,TRUE
NGC4569,189.2081,13.1634,16.8,10.89,0.21,TRUE,FALSE,TRUE
NGC4571,189.2349,14.2174,14.9,10.02,-0.41,TRUE,FALSE,TRUE
NGC4579,189.4314,11.8181,16.8,10.94,0.06,TRUE,FALSE,TRUE
NGC4654,190.9859,13.1265,16.8,10.30,0.27,TRUE,FALSE,TRUE
NGC4689,191.9399,13.7626,16.8,10.22,-0.39,TRUE,FALSE,TRUE
NGC4694,192.0629,10.9835,16.8,9.83,-0.75,TRUE,FALSE,FALSE
NGC4731,192.7560,-6.3941,12.4,9.51,-0.32,TRUE,FALSE,FALSE
NGC4781,193.5990,-10.5372,15.3,9.89,-0.01,TRUE,FALSE,FALSE
NGC4826,194.1820,21.6821,4.4,10.18,-0.68,TRUE,FALSE,TRUE
